Data.Rio,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Tabela 2675 - Chegada mensal de turistas pelo  Rio de Janeiro, segundo continentes e países de residência permanente - Via aérea  - 2015 (1)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Continentes e países de residência permanente,Número de turistas,,,,,,,,,,,,
,Total,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
,,,,,,,,,,,,,
Total,1 344 599, 99 256, 130 075, 129 256, 99 755, 93 724, 85 200, 114 133, 89 190, 65 742, 127 762, 146 576, 163 930
África, 19 713, 2 325, 1 503, 1 890, 1 452, 1 711, 1 253, 1 715, 1 631,  801, 1 487, 2 014, 1 931
   África do Sul, 1 443,  119,  90,  104,  92,  101,  104,  115,  68,  57,  98,  122,  373
   Angola, 13 139, 1 952, 1 051, 1 472, 1 012, 1 161,  676, 1 016, 1 123,  497,  951, 1 251,  977
   Cabo Verde,  96,  3,  12,  3,  2,  5,  8,  15,  18, - ,  8,  19,  3
   Nigéria,  265,  9,  22,  25,  22,  9,  30,  12,  11,  9,  21,  66,  29
   Outros, 4 770,  242,  328,  286,  324,  435,  435,  557,  411,  238,  409,  556,  549
América Central, 12 099,  798,  762,  892,  962,  863, 1 046,  969,  841,  772, 1 267, 1 462, 1 465
   Costa Rica, 2 423,  334,  145,  178,  175,  167,  222,  175,  145,  98,  244,  191,  349
   Cuba,  830,  48,  45,  42,  42,  57,  63,  90,  69,  50,  68,  125,  131
   Panamá, 1 481,  55,  81,  122,  119,  96,  129,  105,  90,  112,  148,  242,  182
   Porto Rico, 2 732,  185,  178,  199,  253,  227,  131,  200,  156,  173,  315,  351,  364
   Outros, 4 633,  176,  313,  351,  373,  316,  501,  399,  381,  339,  492,  553,  439
América do Norte, 228 264, 11 950, 20 047, 21 593, 16 977, 19 398, 19 750, 19 472, 14 916, 10 453, 19 180, 25 003, 29 525
   Canadá, 18 110, 1 042, 2 157, 1 834, 1 347, 1 401, 1 045, 1 187,  909,  683, 1 725, 2 281, 2 499
   Estados Unidos, 194 825, 10 035, 16 579, 17 903, 14 144, 16 478, 16 885, 16 885, 13 199, 9 068, 16 355, 21 578, 25 716
   México, 15 329,  873, 1 311, 1 856, 1 486, 1 519, 1 820, 1 400,  808,  702, 1 100, 1 144, 1 310
América do Sul, 516 454, 48 215, 48 830, 49 619, 34 920, 33 808, 26 486, 43 284, 31 903, 27 693, 53 033, 57 059, 61 604
   Argentina, 321 612, 32 957, 30 836, 30 136, 21 824, 20 049, 14 474, 27 194, 19 360, 16 575, 33 118, 35 016, 40 073
   Bolívia,  674,  47,  48,  62,  47,  52,  36,  66,  48,  35,  63,  75,  95
   Chile, 97 517, 8 911, 12 055, 9 398, 5 707, 7 652, 4 971, 8 236, 5 278, 6 122, 9 190, 10 179, 9 818
   Colômbia, 25 022, 1 370, 1 384, 2 256, 1 573, 1 829, 2 547, 1 811, 1 615, 1 284, 2 546, 2 892, 3 915
   Equador, 4 396,  132,  226,  336,  509,  405,  372,  392,  315,  260,  539,  537,  373
   Guiana Francesa, - , - , - , - , - , - , - , - , - , - , - , - , - 
   Paraguai, 3 014,  128,  131,  119,  149,  149,  194,  310,  321,  211,  399,  307,  596
   Peru, 13 382,  825,  935, 1 406, 1 049, 1 076,  963, 1 286,  965,  729, 1 411, 1 326, 1 411
   República da Guiana,  102,  2,  6,  11,  2, - ,  8,  11,  19,  15,  5,  12,  11
   Suriname,  45,  5,  2, - , - ,  2,  8,  2,  9,  2, - ,  12,  3
   Uruguai, 41 258, 3 552, 2 741, 5 175, 2 309, 1 813, 2 367, 3 348, 3 318, 2 131, 4 997, 5 428, 4 079
   Venezuela, 9 432,  286,  466,  720, 1 751,  781,  546,  628,  655,  329,  765, 1 275, 1 230
Ásia, 49 110, 2 456, 6 384, 4 225, 3 954, 3 983, 4 105, 3 898, 3 091, 2 903, 4 265, 4 958, 4 888
   China, 10 642,  334, 1 102,  844,  989,  844,  888, 1 076,  649,  664, 1 110, 1 090, 1 052
   Índia, 4 501,  108,  312,  537,  325,  500,  369,  346,  321,  256,  396,  599,  432
   Israel, 8 269,  726, 1 842,  754,  778,  376,  446,  507,  373,  589,  504,  644,  730
   Japão, 7 859,  389, 1 113,  563,  483,  524,  830,  685,  828,  387,  581,  696,  780
   República da Coréia, 3 625,  268,  354,  253,  384,  328,  214,  227,  184,  197,  363,  466,  387
   Outros, 14 214,  631, 1 661, 1 274,  995, 1 411, 1 358, 1 057,  736,  810, 1 311, 1 463, 1 507
Europa, 501 512, 32 551, 50 378, 49 719, 40 063, 32 467, 31 322, 43 405, 35 638, 22 005, 46 830, 54 497, 62 637
   Alemanha, 52 747, 2 988, 4 715, 6 776, 3 626, 3 322, 2 758, 3 986, 3 884, 2 708, 5 912, 5 474, 6 598
   Áustria, 6 909,  572,  667,  750,  378,  586,  299,  735,  556,  279,  563,  723,  801
