Data.Rio,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Tabela 2675 - Chegada mensal de turistas pelo  Rio de Janeiro, segundo continentes e países de residência permanente - Via aérea  - 2019 (1)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Continentes e países de residência permanente (3) ,Número de turistas,,,,,,,,,,,,
,Total,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
,,,,,,,,,,,,,
Total,1 198 522, 126 142, 135 859, 135 509, 91 706, 72 060, 77 382, 87 146, 89 031, 85 406, 90 255, 92 901, 115 125
África, 12 285, 1 557, 1 448, 2 078,  989,  610,  791,  822, 1 069,  807,  717,  554,  843
África do Sul, 3 129,  394,  442,  854,  240,  109,  195,  103,  98,  157,  188,  93,  256
Angola, 2 440,  371,  221,  282,  240,  206,  154,  205,  311,  234,  198,  6,  12
Cabo Verde,  73,  6,  14,  12,  5,  2,  3,  1,  2,  3,  5,  3,  17
Egito,  579,  29,  43,  75,  48,  52,  52,  61,  58,  12,  28,  31,  90
Gana,  65,  1,  3,  2,  3,  2,  5,  22,  3,  8,  1,  8,  7
Marrocos, 2 630,  240,  315,  300,  241,  63,  182,  208,  384,  158,  121,  172,  246
Moçambique, 1 011,  368,  252,  128,  42,  33,  24,  41,  52,  54,  12,  2,  3
Nigéria,  313,  39,  9,  59,  35,  26,  14,  18,  9,  40,  22,  27,  15
Quênia,  92,  2,  9,  11,  2,  8,  18,  2,  5,  12,  11,  6,  6
Tunísia,  802,  37,  61,  242,  68,  27,  45,  55,  60,  30,  17,  53,  107
Outros países da África, 1 151,  70,  79,  113,  65,  82,  99,  106,  87,  99,  114,  153,  84
América Central e Caribe, 8 623,  560,  561,  907,  807,  446,  572,  711,  778,  869,  680, 1 021,  711
Costa Rica, 1 913,  197,  115,  167,  239,  115,  93,  129,  160,  165,  176,  181,  176
Cuba,  427,  37,  20,  35,  48,  34,  31,  52,  29,  36,  25,  32,  48
El Salvador,  597,  29,  51,  43,  54,  35,  70,  46,  48,  77,  44,  53,  47
Guatemala, 1 166,  67,  70,  83,  123,  44,  96,  142,  73,  87,  66,  173,  142
Haiti,  132,  3,  7,  11,  5,  12,  11,  20,  10,  17,  11,  8,  17
Honduras,  503,  26,  32,  45,  40,  19,  41,  47,  35,  67,  41,  57,  53
Nicarágua,  264,  4,  9,  59,  29,  7,  20,  24,  29,  19,  14,  27,  23
Panamá, 2 446,  138,  198,  331,  134,  114,  126,  156,  263,  270,  195,  405,  116
República Dominicana,  536,  21,  13,  51,  59,  25,  47,  62,  80,  78,  29,  33,  38
Trinidad e Tobago,  210,  10,  17,  20,  40,  17,  11,  6,  22,  20,  22,  9,  16
Outros países da América Central e Caribe,  429,  28,  29,  62,  36,  24,  26,  27,  29,  33,  57,  43,  35
América do Norte, 138 629, 10 570, 12 411, 16 720, 8 907, 9 198, 10 428, 10 719, 11 704, 10 744, 11 065, 11 159, 15 004
Canadá, 13 524, 1 209, 1 496, 1 633,  722,  553,  503, 1 073, 1 391, 1 848, 1 005,  927, 1 164
